column,start,end
parid,00000000000000,02121001271099
parid,02121001271100,02241050211087
parid,02241050211088,03043030340000
parid,03043030340001,03174030070000
parid,03174030070001,03292010200000
parid,03292010200001,04082000241034
parid,04082000241035,04262020401011
parid,04262020401012,05202180201001
parid,05202180201002,06061160230000
parid,06061160230001,06251030590000
parid,06251030590001,07094020240000
parid,07094020240001,07232060050000
parid,07232060050001,07353111170000
parid,07353111170001,08152020620000
parid,08152020620001,09103010721029
parid,09103010721030,09174230291046
parid,09174230291047,09272000531050
parid,09272000531051,10104140220000
parid,10104140220001,10192020150000
parid,10192020150001,10261040280000
parid,10261040280001,10361000181087
parid,10361000181088,11302000361031
parid,11302000361032,12033020170000
parid,12033020170001,12212060580000
parid,12212060580001,12281170220000
parid,12281170220001,13021240480000
parid,13021240480001,13083290250000
parid,13083290250001,13132280100000
parid,13132280100001,13172300070000
parid,13172300070001,13222120010000
parid,13222120010001,13264240390000
parid,13264240390001,13314150420000
parid,13314150420001,13363010010000
parid,13363010010001,14072290441012
parid,14072290441013,14172100231005
parid,14172100231006,14201170350000
parid,14201170350001,14281030651003
parid,14281030651004,14293190651001
parid,14293190651002,14322150471015
parid,14322150471016,15034370420000
parid,15034370420001,15124190201001
parid,15124190201002,15222000090000
parid,15222000090001,15354050401001
parid,15354050401002,16051150200000
parid,16051150200001,16094140090000
parid,16094140090001,16153020020000
parid,16153020020001,16204100260000
parid,16204100260001,16264050160000
parid,16264050160001,16323020270000
parid,16323020270001,17032270221124
parid,17032270221125,17052150040000
parid,17052150040001,17082320120000
parid,17082320120001,17093010101154
parid,17093010101155,17102060351302
parid,17102060351303,17151100450000
parid,17151100450001,17172140191119
parid,17172140191120,17213040630000
parid,17213040630001,17223100151206
parid,17223100151207,17322220310000
parid,17322220310001,18043170250000
parid,18043170250001,18201090070000
parid,18201090070001,19014190140000
parid,19014190140001,19113130450000
parid,19113130450001,19172150510000
parid,19172150510001,19242310280000
parid,19242310280001,19342050440000
parid,19342050440001,20043310030000
parid,20043310030001,20113080621047
parid,20113080621048,20182010130000
parid,20182010130001,20232210090000
parid,20232210090001,20292200170000
parid,20292200170001,20351241740000
parid,20351241740001,22291150230000
parid,22291150230001,23232000211262
parid,23232000211263,24051020360000
parid,24051020360001,24121180090000
parid,24121180090001,24181020320000
parid,24181020320001,24312010840000
parid,24312010840001,25042050040000
parid,25042050040001,25103170330000
parid,25103170330001,25191080150000
parid,25191080150001,25284350170000
parid,25284350170001,26083260260000
parid,26083260260001,27131050070000
parid,27131050070001,27264020120000
parid,27264020120001,28043010181001
parid,28043010181002,28171200100000
parid,28171200100001,28314050080000
parid,28314050080001,29081080190000
parid,29081080190001,29173050110000
parid,29173050110001,29312010020000
parid,29312010020001,30293200440000
parid,30293200440001,31162110880000
parid,31162110880001,32051030060000
parid,32051030060001,32231100460000
parid,32231100460001,99999999999999
